,College,Latitude,Longitude,City,State,number undergraduates,Total apps,Admitted,Enrolled,Admitted from WL,Accepted WL,Admit rate all non ED-applications,number ED Apps,number ED admits,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,percent submitted SAT
0,American University,38.937496,-77.088806,Washington,District of Columbia,7659,19650,12594,2372,81.0,1082.0,63.0,773,673.0,34,66,61.0,66,64,9.0,3589.0,1082.0,81.0,3,28.0
1,Amherst College,42.372139,-72.519333,Amherst,Massachusetts,1839,13999,1224,515,0.0,788.0,8.0,878,213.0,44,56,8.0,9,9,2.0,1285.0,788.0,0.0,0,36.0
2,Auburn University,32.593597,-85.495113,Auburn,Alabama,24209,27619,19660,5311,0.0,0.0,, ,,41,59,69.0,73,71,,0.0,0.0,0.0,0,
3,Babson College,42.298222,-71.265427,Wellesley,Massachusetts,2324,7104,1801,650,1.0,1210.0,28.0,735,276.0,65,35,20.0,36,25,6.0,3015.0,1210.0,1.0,0,34.0
4,Barnard College,,,New York,New York,2622,10395,1192,769,104.0,1904.0,8.0,1285,429.0,0,100,,11,11,4.0,2612.0,1904.0,104.0,14,30.0
5,Bates College,44.105721,-70.202187,Lewiston,Maine,1820,7319,1267,553,2.0,1245.0,14.0,568,338.0,45,55,17.0,18,17,3.0,2473.0,1245.0,2.0,0,
6,Baylor University,31.550213,-97.114044,Waco,Texas,13948,36588,20741,4271,3.0,253.0,56.0,1140,865.0,36,64,67.0,51,57,10.0,968.0,253.0,3.0,0,39.0
7,Belmont University,36.132839,-86.793805,Nashville,Tennessee,6768,9614,8468,1834,,,, ,,30,70,85.0,89,88,,,,,,22.0
8,Boston College,42.335454,-71.168441,Chestnut Hill,Massachusetts,9637,39846,7587,2516,13.0,8019.0,21.0,3221,1260.0,38,62,23.0,17,19,3.0,13040.0,8019.0,13.0,1,30.0
9,Boston University,42.350876,-71.106918,Boston,Massachusetts,16891,75778,14129,4011,1.0,8944.0,18.0,5659,1820.0,38,62,23.0,16,19,3.0,14991.0,8944.0,1.0,0,32.0
10,Bowdoin College,43.907515,-69.963600,Brunswick,Maine,1832,9325,822,517,0.0,0.0,7.0,960,263.0,43,57,10.0,8,9,3.0,0.0,0.0,0.0,0,
11,Brandeis University,42.365222,-71.258719,Waltham,Massachusetts,3678,9796,3834,943,31.0,768.0,38.0,585,330.0,41,59,36.0,41,39,7.0,1665.0,768.0,31.0,3,40.0
12,Brown University,41.826820,-71.402931,Providence,Rhode Island,6834,46568,2568,1705,28.0,0.0,4.0,5541,884.0,38,62,7.0,5,6,2.0,0.0,0.0,28.0,2,51.0
13,Bucknell University,40.955161,-76.885280,Lewisburg,Pennsylvania,3608,11263,3886,1027,64.0,1736.0,33.0,853,468.0,50,50,31.0,38,35,5.0,3743.0,1736.0,64.0,6,35.0
14,California Institute of Technology,34.138000,-118.125000,Pasadena,California,938,13026,510,270,0.0,213.0,,  ,,69,31,3.0,6,4,,268.0,213.0,0.0,0,0.0
15,Carleton College,44.461738,-93.155792,Northfield,Minnesota,2065,7915,1389,555,11.0,580.0,17.0,1061,235.0,46,54,18.0,17,18,5.0,1367.0,580.0,11.0,2,35.0
16,Carnegie Mellon University,40.443336,-79.944023,Pittsburgh,Pennsylvania,6535,32896,4453,1896,35.0,5319.0,13.0,2972,592.0,60,40,11.0,18,14,4.0,8792.0,5319.0,35.0,2,48.0
17,Case Western Reserve University,41.504253,-81.608341,Cleveland,Ohio,5269,33232,10049,1606,364.0,4992.0,30.0,888,318.0,51,49,29.0,31,30,4.0,11494.0,4992.0,364.0,23,39.0
18,Centre College,37.645920,-84.779630,Danville,Kentucky,1401,2567,1745,377,,,, ,,51,49,59.0,78,68,,,,,,6.0
19,Chapman University,33.793311,-117.852492,Orange,California,7294,15098,9115,1658,499.0,836.0,61.0,246,119.0,36,64,57.0,62,60,10.0,2154.0,836.0,499.0,30,22.0
20,Claremont McKenna College,34.100562,-117.706797,Claremont,California,1335,5632,633,358,9.0,589.0,9.0,694,200.0,45,55,11.0,11,11,3.0,897.0,589.0,9.0,3,28.0
