,College,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White
0,American University,16.0,2,15,9.0,38,62,0,7,8,12,0,4,3,51
1,Amherst College,21.0,13,10,23.0,48,52,1,15,10,14,0,7,2,40
2,Auburn University,17.0,54,6,8.0,51,49,0,2,5,4,0,3,0,81
3,Babson College,15.0,22,27,10.0,55,45,0,12,4,13,0,3,6,35
4,Barnard College,16.0,26,12,23.0,0,100,0,18,5,12,0,6,1,45
5,Bates College,15.0,11,8,11.0,49,51,0,5,6,7,0,6,0,67
6,Baylor University,17.0,63,4,8.0,40,60,0,8,5,16,0,5,1,61
7,Belmont University,16.0,27,1,9.0,34,66,0,2,5,7,0,4,1,79
8,Boston College,13.0,24,8,7.0,47,53,0,10,4,11,0,4,5,58
9,Boston University,17.0,20,21,,42,58,0,19,4,12,0,4,5,35
10,Bowdoin College,19.0,10,7,7.0,49,51,0,9,8,11,0,8,0,56
11,Brandeis University,16.0,31,20,14.0,40,60,0,15,5,8,0,4,3,44
12,Brown University,17.0,4,12,29.0,47,53,0,18,7,11,0,6,4,41
13,Bucknell University,12.0,24,5,16.0,48,52,0,5,4,7,0,4,0,75
14,California Institute of Technology,,45,8,6.0,54,46,0,40,2,18,0,9,0,23
15,Carleton College,16.0,21,10,13.0,48,52,0,10,6,9,0,8,2,56
16,Carnegie Mellon University,10.0,11,16,8.0,50,50,0,35,4,9,0,4,7,25
17,Case Western Reserve University,11.0,23,14,19.0,54,46,0,23,4,9,0,5,1,43
18,Centre College,20.0,62,5,5.0,49,51,0,5,5,7,0,4,2,72
19,Chapman University,18.0,66,3,8.0,40,60,0,14,2,17,0,8,6,50
20,Claremont McKenna College,,50,14,14.0,49,51,0,13,5,17,0,7,5,38
21,Clemson University,17.0,56,1,,51,49,0,3,6,6,0,4,0,80
22,Colby College,11.0,7,9,18.0,47,53,0,9,5,8,0,6,3,61
23,Colgate University,18.0,27,9,10.0,45,55,0,5,4,9,0,4,3,65
24,Colorado College,18.0,26,7,20.0,44,56,0,5,3,11,0,7,2,64
25,Colorado School of Mines,15.0,54,4,6.0,69,31,0,5,1,12,0,5,3,70
26,Colorado State University-Fort Collins,24.0,73,3,8.0,46,54,1,3,2,15,0,5,1,70
27,Columbia University in the City of New York--Columbia College and Columbia Engineering,25.0,20,18,12.0,51,49,0,17,7,15,0,6,4,33
28,Connecticut College,14.0,14,8,12.0,38,62,0,4,4,10,0,4,1,67
29,Cornell University,15.0,38,10,,46,54,0,21,7,15,0,5,8,35
30,Dartmouth College,17.0,3,11,8.0,51,49,1,15,6,10,0,6,2,49
31,Davidson College,16.0,20,7,12.0,48,52,0,6,6,8,0,4,1,66
32,Denison University,17.0,28,16,12.0,47,53,0,3,6,8,0,4,3,60
33,DePaul University,30.0,68,2,8.0,47,53,0,11,8,21,0,5,2,51
34,DePauw University,16.0,44,15,,48,52,0,3,6,9,0,2,2,62
35,Dickinson College,12.0,26,12,19.0,41,59,0,5,6,9,0,4,1,63
36,Drexel University,29.0,47,9,6.0,52,48,0,21,7,7,0,4,3,49
37,Duke University,13.0,14,8,,49,51,1,21,9,10,0,6,5,41
38,Elon University,9.0,19,2,10.0,40,60,0,2,6,6,0,3,1,80
39,Emory University,16.0,14,15,8.0,41,59,0,23,9,11,0,4,1,37
40,Florida Institute of Technology,40.0,46,25,7.0,69,31,0,2,5,10,0,3,2,51
41,Florida State University,28.0,88,2,8.0,43,57,0,3,9,22,0,4,1,59
42,Fordham University,18.0,40,7,8.0,43,57,0,12,4,16,0,4,1,54
43,Franklin and Marshall College,19.0,29,17,19.0,43,57,0,4,7,11,0,3,2,56
44,Furman University,12.0,29,3,18.0,39,61,0,3,7,6,0,3,1,77
45,George Mason University,30.0,82,5,5.0,51,49,0,22,11,16,0,5,3,37
46,George Washington University,16.0,2,10,9.0,36,64,0,12,9,12,0,4,4,49
47,Georgetown University,16.0,1,15,12.0,44,56,0,12,7,9,0,5,4,48
48,Georgia Institute of Technology-Main Campus,15.0,59,9,6.0,61,39,0,26,7,7,0,4,2,44
49,Gonzaga University,13.0,45,1,11.0,47,53,0,6,1,11,0,7,2,70
50,Grinnell College,18.0,9,19,19.0,47,53,0,8,5,9,0,5,4,51
51,Hamilton College,13.0,32,6,8.0,46,54,0,7,4,10,0,5,3,65
52,Hanover College,25.0,66,3,7.0,46,54,0,1,4,4,0,3,9,75
53,Harvard University,26.0,18,12,10.0,49,51,0,18,9,12,0,6,4,38
54,Haverford College,16.0,15,12,19.0,46,54,0,11,6,13,0,6,2,51
55,Hofstra University,24.0,65,5,13.0,45,55,0,12,9,14,0,3,2,54
56,Howard University,24.0,0,4,8.0,28,72,2,3,67,7,0,4,13,1
