College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
American University,38.937496,-77.088806,Private; non-profit,Washington,District of Columbia,Large city,Large city,United Methodist,National University,72,7659,5791.0,87,11,19650,12594,2372,0,75,34,66,61.0,66,64,19.0,28.0,1280,1440,18.0,29.0,33.0,,,,,,773,673.0,87.0,63.0,4.0,28.0,14.0,9.0,3589.0,1082.0,81.0,3,,,70512.0,14.0,33.0,56.0,42.0,77.0,58.0,3295.0,42.0,10818.0,11743.0,15197.0,21773.0,40073.0,20862.0,46.0,13269.0,20.0,13672.0,28,13478,7659,16.0,2,15,9.0,38,62,0,7,8,12,0,4,3,51,1.0,1.0,143.0,104.0,75.0,121.0,480.0,1449.0,73,77,79,77.0,80.0,36200.0,71700.0,61000.0
Barnard College,40.8095,-73.9634,Private; non-profit,New York,New York,Large city,Large city,No religious affiliation,National Liberal Arts College,18,2622,,95,9,10395,1192,769,6,75,0,100,,11,11,65.0,30.0,1425,1550,21.0,32.0,34.0,90.0,98.0,,,,1285,429.0,33.0,8.0,12.0,56.0,45.0,4.0,2612.0,1904.0,104.0,14,,,80693.0,15.0,33.0,40.0,37.0,100.0,63.0,1861.0,63.0,17166.0,14441.0,20962.0,30311.0,57739.0,17125.0,0.0,,0.0,,0,0,2622,16.0,26,12,23.0,0,100,0,18,5,12,0,6,1,45,1.0,0.0,29.0,44.0,47.0,29.0,74.0,546.0,85,91,93,,93.0,32700.0,77700.0,57900.0
Belmont University,36.132839,-86.793805,Private; non-profit,Nashville,Tennessee,Large city,Large city,Interdenominational,National University,182,6768,1620.0,83,14,9614,8468,1834,0,50,30,70,85.0,89,88,22.0,22.0,1150,1340,44.0,24.0,30.0,29.0,61.0,42,21,17, ,,,,,,,,,,,,,,58305.0,17.0,35.0,72.0,55.0,66.0,45.0,1152.0,17.0,19332.0,24109.0,26446.0,30141.0,40966.0,17649.0,78.0,9563.0,57.0,10130.0,62,10130,6768,16.0,27,1,9.0,34,66,0,2,5,7,0,4,1,79,0.0,0.0,129.0,96.0,77.0,121.0,296.0,1115.0,57,67,68,63.0,71.0,23000.0,55900.0,44100.0
Boston University,42.350876,-71.106918,Private; non-profit,Boston,Massachusetts,Large city,Large city,No religious affiliation,National University,41,16891,15737.0,94,10,75778,14129,4011,2,80,38,62,23.0,16,19,28.0,32.0,1360,1520,13.0,31.0,34.0,66.0,93.0,24,30,36,5659,1820.0,32.0,18.0,7.0,45.0,18.0,3.0,14991.0,8944.0,1.0,0,,,79606.0,17.0,26.0,49.0,43.0,88.0,57.0,9176.0,53.0,11832.0,8835.0,15046.0,23922.0,46244.0,22250.0,8.0,26434.0,6.0,23912.0,7,23912,16891,17.0,20,21,,42,58,0,19,4,12,0,4,5,35,1.0,0.0,262.0,192.0,177.0,193.0,468.0,2719.0,84,88,89,88.0,90.0,38800.0,78100.0,65300.0
Carnegie Mellon University,40.443336,-79.944023,Private; non-profit,Pittsburgh,Pennsylvania,Large city,Large city,No religious affiliation,National University,22,6535,7562.0,97,5,32896,4453,1896,3,75,60,40,11.0,18,14,43.0,48.0,1480,1560,22.0,33.0,35.0,89.0,100.0,32,45,17,2972,592.0,20.0,13.0,9.0,31.0,34.0,4.0,8792.0,5319.0,35.0,2,,,77474.0,15.0,38.0,45.0,38.0,97.0,62.0,4110.0,57.0,14879.0,18424.0,22758.0,30955.0,54338.0,19500.0,2.0,9471.0,10.0,38817.0,8,38817,6535,10.0,11,16,8.0,50,50,0,35,4,9,0,4,7,25,2.0,0.0,98.0,101.0,85.0,103.0,372.0,1137.0,79,90,93,91.0,95.0,44700.0,111000.0,83600.0
Case Western Reserve University,41.504253,-81.608341,Private; non-profit,Cleveland,Ohio,Large city,Large city,No religious affiliation,National University,44,5269,6491.0,93,11,33232,10049,1606,1,70,51,49,29.0,31,30,16.0,39.0,1410,1530,31.0,32.0,35.0,70.0,95.0,7,53,29,888,318.0,36.0,30.0,3.0,20.0,13.0,4.0,11494.0,4992.0,364.0,23,,,74114.0,16.0,50.0,59.0,47.0,98.0,53.0,637.0,11.0,18240.0,20149.0,21047.0,30752.0,47859.0,21725.0,92.0,24865.0,74.0,24547.0,78,24547,5269,11.0,23,14,19.0,54,46,0,23,4,9,0,5,1,43,1.0,1.0,109.0,62.0,77.0,81.0,499.0,778.0,67,82,84,79.0,91.0,44300.0,96000.0,74600.0
Colorado College,38.849104,-104.825425,Private; non-profit,Colorado Springs,Colorado,Large city,Large city,No religious affiliation,National Liberal Arts College,27,2089,25.0,96,9,10975,1564,620,3,0,38,62,15.0,14,14,40.0,,0,0,,,,73.0,91.0,,,,1056,309.0,29.0,13.0,10.0,50.0,25.0,3.0,739.0,174.0,0.0,0,,,79562.0,14.0,24.0,43.0,37.0,100.0,63.0,1168.0,52.0,10023.0,12489.0,17057.0,27976.0,45085.0,15670.0,16.0,8507.0,17.0,8738.0,17,8738,2089,18.0,26,7,20.0,44,56,0,5,3,11,0,7,2,64,6.0,3.0,45.0,35.0,28.0,27.0,79.0,406.0,82,85,86,84.0,87.0,25500.0,62800.0,45400.0
Columbia University in the City of New York--Columbia College and Columbia Engineering,40.807384,-73.963036,Private; non-profit,New York,New York,Large city,Large city,No religious affiliation,National University,18,8221,23235.0,99,6,61110,2524,1641,16,85,41,59,5.0,4,4,65.0,43.0,1470,1570,28.0,34.0,35.0,96.0,98.0,100,,,6435,768.0,12.0,3.0,11.0,49.0,50.0,1.0,,,,,,,82584.0,23.0,17.0,55.0,49.0,100.0,51.0,3421.0,51.0,-3429.0,-5227.0,-4069.0,9939.0,40584.0,19000.0,0.0,,0.0,,0,0,8221,25.0,20,18,12.0,51,49,0,17,7,15,0,6,4,33,2.0,0.0,64.0,89.0,106.0,60.0,167.0,1155.0,88,95,97,97.0,98.0,45800.0,114400.0,83300.0
DePaul University,41.924099,-87.654756,Private; non-profit,Chicago,Illinois,Large city,Large city,Roman Catholic,National University,137,14009,7850.0,85,17,32075,22274,2838,0,0,38,62,65.0,72,69,13.0,,0,0,,,,,,,,, ,,,,,,,,0.0,0.0,0.0,0,,,60771.0,31.0,50.0,83.0,71.0,68.0,29.0,870.0,7.0,26226.0,27690.0,27561.0,29405.0,34357.0,19780.0,93.0,19255.0,70.0,17181.0,74,17181,14009,30.0,68,2,8.0,47,53,0,11,8,21,0,5,2,51,1.0,0.0,415.0,255.0,245.0,274.0,491.0,1158.0,58,68,70,68.0,71.0,30300.0,67800.0,53300.0
Drexel University,39.9566,-75.1899,Private; non-profit,Philadelphia,Pennsylvania,Large city,Large city,No religious affiliation,National University,105,15287,8791.0,89,11,34519,28522,2854,0,50,47,53,81.0,84,83,10.0,37.0,1210,1410,9.0,26.0,32.0,,,,,,392,370.0,94.0,82.0,1.0,13.0,9.0,7.0,0.0,0.0,0.0, ,,,76524.0,24.0,49.0,71.0,61.0,74.0,39.0,302.0,2.0,11843.0,14724.0,19656.0,25062.0,31912.0,20500.0,97.0,20783.0,93.0,19484.0,93,19484,15287,29.0,47,9,6.0,52,48,0,21,7,7,0,4,3,49,0.0,0.0,338.0,222.0,170.0,221.0,643.0,1260.0,31,75,78,74.0,83.0,39300.0,82900.0,68800.0
