,index,Event,Recruit,Walk On,Tryout,College,Team,Recruit numeric,Walk On numeric,Tryout numeric
0,0,5K XC,15:57,16:15,16:47,American University,mens,957.0,975.0,1007.0
1,1,3200m,9:22,9:31,9:39,American University,mens,562.0,571.0,579.0
2,2,1600m,4:17,4:21,4:26,American University,mens,257.0,261.0,266.0
3,3,800m,1:53,1:56,1:59,American University,mens,113.0,116.0,119.0
4,4,400m,50.38,53.40,56.41,American University,mens,50.38,53.4,56.41
5,5,300m H,40.04,40.88,41.77,American University,mens,40.04,40.88,41.77
6,6,200m,23.06,24.00,24.81,American University,mens,23.06,24.0,24.81
7,7,110m H,15.22,15.74,16.23,American University,mens,15.22,15.74,16.23
8,8,100m,11.54,11.61,11.70,American University,mens,11.54,11.61,11.7
9,0,5K XC,18:46,19:36,20:29,American University,womens,1126.0,1176.0,1229.0
10,1,3200m,11:13,11:28,11:42,American University,womens,673.0,688.0,702.0
11,2,1600m,5:13,5:22,5:32,American University,womens,313.0,322.0,332.0
12,3,800m,2:18,2:22,2:25,American University,womens,138.0,142.0,145.0
13,4,400m,1:00,1:03,1:04,American University,womens,60.0,63.0,64.0
14,5,300m H,47.33,49.23,50.80,American University,womens,47.33,49.23,50.8
15,6,200m,27.33,28.08,28.70,American University,womens,27.33,28.08,28.7
16,7,100m,12.74,13.19,13.58,American University,womens,12.74,13.19,13.58
17,8,100m H,15.49,16.12,16.74,American University,womens,15.49,16.12,16.74
18,0,5K XC,16:25,16:59,17:52,Amherst College,mens,985.0,1019.0,1072.0
19,1,3200m,9:35,9:46,9:56,Amherst College,mens,575.0,586.0,596.0
20,2,1600m,4:23,4:30,4:38,Amherst College,mens,263.0,270.0,278.0
21,3,800m,1:58,2:00,2:02,Amherst College,mens,118.0,120.0,122.0
22,4,400m,50.60,52.31,55.22,Amherst College,mens,50.6,52.31,55.22
23,5,300m H,40.69,42.34,43.72,Amherst College,mens,40.69,42.34,43.72
24,6,200m,22.59,23.36,25.27,Amherst College,mens,22.59,23.36,25.27
25,7,110m H,15.33,15.42,15.47,Amherst College,mens,15.33,15.42,15.47
26,8,100m,11.07,11.50,12.25,Amherst College,mens,11.07,11.5,12.25
27,9,Long Jump,21' 10,20' 6,19' 6,Amherst College,mens,262.0,246.0,234.0
28,0,5K XC,19:06,20:13,21:57,Amherst College,womens,1146.0,1213.0,1317.0
29,1,3200m,11:28,11:49,12:12,Amherst College,womens,688.0,709.0,732.0
30,2,1600m,5:15,5:23,5:31,Amherst College,womens,315.0,323.0,331.0
31,3,800m,2:20,2:25,2:31,Amherst College,womens,140.0,145.0,151.0
32,4,400m,58.73,59.98,1:01,Amherst College,womens,58.73,59.98,61.0
33,5,300m H,49.85,51.35,52.72,Amherst College,womens,49.85,51.35,52.72
34,6,200m,26.49,27.12,27.52,Amherst College,womens,26.49,27.12,27.52
35,7,100m,13.14,13.57,13.95,Amherst College,womens,13.14,13.57,13.95
36,8,100m H,15.65,16.37,17.94,Amherst College,womens,15.65,16.37,17.94
37,9,High Jump,5' 2,5' 0,4' 10,Amherst College,womens,62.0,60.0,58.0
38,10,Long Jump,17' 10,16' 4,15' 0,Amherst College,womens,214.0,196.0,180.0
39,11,Triple Jump,35' 10,35' 0,34' 8,Amherst College,womens,430.0,420.0,416.0
40,0,5K XC,15:37,15:56,16:16,Auburn University,mens,937.0,956.0,976.0
41,1,3200m,9:16,9:28,9:37,Auburn University,mens,556.0,568.0,577.0
42,2,1600m,4:15,4:20,4:25,Auburn University,mens,255.0,260.0,265.0
43,3,800m,1:54,1:56,1:58,Auburn University,mens,114.0,116.0,118.0
